"stat_name","beta","sd"
"batting_runs",95.901647,4.120839
"batting_fours",54.519144,0.333636
"batting_sixes",-18.613438,0.197424
"batting_boundaries",1.990034,0.504605
"batting_dot_balls",21.594972,1.081514
"bowling_runs_conceded",41.740586,4.597331
"bowling_wickets",-25.93795,0.20678
"bowling_dot_balls",-26.12207,1.12885
"bowling_boundaries_conceded",-0.690608,0.580948
"bowling_wides",4.836062,0.165267
"batting_wpa",-0.901693,0.938735
"bowling_wpa",5.69447,1.00516
"batting_era",1.95319,0.452141
"bowling_era",0.900804,0.210036
"batting_boundary_rate",1.884411,0.526807
"batting_dot_rate",-3.173076,1.083017
"batting_survival_rate",177.676023,2.966404
"bowling_dot_rate",-1.731043,1.136256
"bowling_boundary_rate",-6.745826,0.577233
"batting_control_rate",6.522069,2e-06
"batting_attack_rate",-37.682854,2e-06
"bowling_good_length_rate",28.459948,2e-06
"bowling_on_stump_rate",19.642981,2e-06
"bowling_beat_bat_rate",-313.384421,3.225253
