"stat_name","beta","sd"
"batting_runs",-20.834772,4.198564
"batting_fours",1.219835,0.341167
"batting_sixes",11.867461,0.19641
"batting_boundaries",-13.051375,0.514297
"batting_dot_balls",0,1.100791
"bowling_runs_conceded",54.900715,4.694286
"bowling_wickets",24.126592,0.209689
"bowling_dot_balls",5.712212,1.153528
"bowling_boundaries_conceded",-33.71306,0.587185
"bowling_wides",0.639874,0.168892
"batting_wpa",-0.660318,0.92374
"bowling_wpa",0.1781,1.039588
"batting_era",-4.387332,0.454907
"bowling_era",1.092593,0.19043
"batting_boundary_rate",-21.430236,0.532968
"batting_dot_rate",2.516777,1.102755
"batting_survival_rate",-91.7834,3.033304
"bowling_dot_rate",24.715402,1.15756
"bowling_boundary_rate",30.097263,0.583229
"batting_control_rate",-10.256544,2e-06
"batting_attack_rate",22.550354,2e-06
"bowling_good_length_rate",-15.020057,2e-06
"bowling_on_stump_rate",-2.040881,2e-06
"bowling_beat_bat_rate",14.639606,3.299042
