"stat_name","beta","sd"
"batting_runs",187.166031,3.141041
"batting_fours",-27.834705,0.264196
"batting_sixes",-41.232306,0.151269
"batting_boundaries",17.564657,0.395572
"batting_dot_balls",50.387045,0.876017
"bowling_runs_conceded",14.734015,3.529104
"bowling_wickets",5.286402,0.16058
"bowling_dot_balls",-26.997051,0.889059
"bowling_boundaries_conceded",0,0.443485
"bowling_wides",10.908767,0.136986
"batting_wpa",-1.41425,1.330047
"bowling_wpa",6.043984,1.44563
"batting_era",1.800516,0.626352
"bowling_era",0.566775,0.279837
"batting_boundary_rate",1.91695,0.406453
"batting_dot_rate",-1.185081,0.875261
"batting_survival_rate",47.768913,2.322952
"bowling_dot_rate",6.873936,0.92493
"bowling_boundary_rate",-6.446723,0.441041
"batting_control_rate",0.162281,2e-06
"batting_attack_rate",-15.562223,2e-06
"bowling_good_length_rate",12.971923,2e-06
"bowling_on_stump_rate",10.065659,2e-06
"bowling_beat_bat_rate",-240.29905,2.516901
