"venue","country"
"1st Central County Ground","England"
"3Ws Oval","West Indies"
"Abu Dhabi","United Arab Emirates"
"Abuja","Nigeria"
"ACA-VDCA Stadium","India"
"Adelaide Oval","Australia"
"Affies Park","Uganda"
"Ageas Bowl","England"
"AIT Ground","Thailand"
"Ajman Oval","United Arab Emirates"
"Al Amerat Cricket Ground","Oman"
"Al Amerat Cricket Stadium","Oman"
"Al Dhaid Cricket Ground","United Arab Emirates"
"Albert Park","Fiji"
"Albertslund","Denmark"
"Albion Sports Complex","West Indies"
"Allan Border Field","Australia"
"Almeria","Spain"
"AMI Stadium","New Zealand"
"Amini Park","Papua New Guinea"
"Amstelveen","Netherlands"
"Antwerp","Belgium"
"Apia","Samoa"
"Arbab Niaz Stadium","Pakistan"
"Arnos Vale Ground","West Indies"
"Arun Jaitley Stadium","India"
"Arundel Castle Cricket Club Ground","England"
"Asgiriya Stadium","Sri Lanka"
"Asian Institute of Technology Ground","Thailand"
"Aurora Stadium","Australia"
"Barabati Stadium","India"
"Barsapara Cricket Stadium","India"
"Basin Reserve","New Zealand"
"Bay Oval","New Zealand"
"Bayuemas Oval","Malaysia"
"Beausejour Stadium","West Indies"
"Bellerive Oval","Australia"
"Bert Sutcliffe Oval","New Zealand"
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium","India"
"Bidvest Wanderers Stadium","South Africa"
"Blackfinch New Road","England"
"Blacktown International Sportspark","Australia"
"Blantyre","Malawi"
"Blundstone Arena","Australia"
"Boland Park","South Africa"
"Bologna","Italy"
"Botkyrka","Sweden"
"Botswana Cricket Association Ground","Botswana"
"Brabourne Stadium","India"
"Bready","Ireland"
"Bready Cricket Club","Ireland"
"Brian Lara Cricket Academy","West Indies"
"Brian Lara Stadium","West Indies"
"Brisbane Cricket Ground, Woolloongabba","Australia"
"Bristol County Ground","England"
"Brondby Stadium","Denmark"
"Broward County Stadium","United States of America"
"Buffalo Park","South Africa"
"Bulawayo Athletic Club","Zimbabwe"
"Cambusdoon New Ground","Scotland"
"Carrara Oval","Australia"
"Casey Fields","Australia"
"Castle Avenue","Ireland"
"Castle Avenue, Dublin","Ireland"
"Cave Hill","West Indies"
"Cazaly's Stadium","Australia"
"Central Broward Regional Park Stadium Turf Ground","United States of America"
"Central Broward Stadium","West Indies"
"Centurion","South Africa"
"Chattogram","Bangladesh"
"Chester-le-Street","England"
"Chilaw Marians","Sri Lanka"
"Chittagong","Bangladesh"
"CitiPower Centre","Australia"
"City Oval","South Africa"
"Civil Service Cricket Club","Ireland"
"Clontarf Cricket Club Ground","Ireland"
"Cobham Oval","New Zealand"
"Coffs Harbour International Stadium","Australia"
"Colombo Cricket Club Ground","Sri Lanka"
"Colts Cricket Club Ground","Sri Lanka"
"Coolidge Cricket Ground","West Indies"
